assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoformpanther_family	date	annotation_extension_class	taxon
MGI	MGI:MGI:1888518	Vav3	PMID:15249579		GO:0043087	regulation of GTPase activity	IGI	MGI:MGI:98923		20050526		NCBITaxon:10090
MGI	MGI:MGI:1888518	Vav3	PMID:15728722		GO:0043552	positive regulation of phosphatidylinositol 3-kinase activity	IGI	MGI:MGI:102718		20060106		NCBITaxon:10090
UniProt	MGI:MGI:88388	Cftr	MGI:MGI:5640937|PMID:24885604		GO:1902161	positive regulation of cyclic nucleotide-gated ion channel activity	IMP			20150428	CL:0000169|GO:0030073|UniProtKB:Q8BHY3	NCBITaxon:10090
MGI	MGI:MGI:88354	Cdh1	PMID:15192701		GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	IDA			20040914		NCBITaxon:10090
UniProt	MGI:MGI:88319	Cd19	MGI:MGI:1100180|PMID:9382888		GO:0043552	positive regulation of phosphatidylinositol 3-kinase activity	IMP			20181107		NCBITaxon:10090
BHF-UCL	MGI:MGI:1353627	Angptl3	MGI:MGI:3773779|PMID:17110602		GO:0010519	negative regulation of phospholipase activity	IMP			20080801		NCBITaxon:10090
MGI	MGI:MGI:1333115	Trpt1	PMID:18094117		GO:0045859	regulation of protein kinase activity	IMP	MGI:MGI:5445769		20121227		NCBITaxon:10090
CACAO	MGI:MGI:2142544	Plekhg4	MGI:MGI:5619433|PMID:23572525		GO:0090630	activation of GTPase activity	IMP			20130414		NCBITaxon:10090
UniProt	MGI:MGI:2142523	Crtc1	MGI:MGI:5532783|PMID:23993098		GO:0032793	positive regulation of CREB transcription factor activity	IMP			20140804		NCBITaxon:10090
MGI	MGI:MGI:1306796	Apaf1	PMID:15776018		GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	IMP	MGI:MGI:1928692		20210319		NCBITaxon:10090
MGI	MGI:MGI:1306796	Apaf1	PMID:15703386		GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	IMP	MGI:MGI:1857868		20210319	EMAPA:17544	NCBITaxon:10090
MGI	MGI:MGI:1306796	Apaf1	PMID:15703386		GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	IGI	MGI:MGI:1349414		20210319	EMAPA:17544	NCBITaxon:10090
UniProt	MGI:MGI:88293	Cacna1d	MGI:MGI:6243790|PMID:24086669		GO:0045762	positive regulation of adenylate cyclase activity	IDA			20181009		NCBITaxon:10090
