assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
CGD	CGD:CAL0000194576	PAP1	PMID:17410550|CGD_REF:CAL0117760		GO:0004652	polynucleotide adenylyltransferase activity	IDA			PANTHER:PTHR10682	20140625		NCBITaxon:237561
ComplexPortal	SGD:S000217655	CPX-1053	PMID:29074584		GO:0004652	polynucleotide adenylyltransferase activity	IDA				20180327		NCBITaxon:559292
EcoliWiki	UniProtKB:P0ABF1	pcnB	PMID:10361280		GO:0004652	polynucleotide adenylyltransferase activity	IDA			PANTHER:PTHR43051	20081001		NCBITaxon:83333
FlyBase	FB:FBgn0015949	hrg	PMID:11319863|FB:FBrf0135717		GO:0004652	polynucleotide adenylyltransferase activity	IDA			PANTHER:PTHR10682	20060803		NCBITaxon:7227
FlyBase	FB:FBgn0260780	wisp	PMID:18434412|FB:FBrf0205291		GO:0004652	polynucleotide adenylyltransferase activity	IDA			PANTHER:PTHR12271	20090528		NCBITaxon:7227
FlyBase	FB:FBgn0030049	Trf4-1	PMID:18765642|FB:FBrf0207153		GO:0004652	polynucleotide adenylyltransferase activity	IDA			PANTHER:PTHR23092	20090402		NCBITaxon:7227
FlyBase	FB:FBgn0038934	Gld2	PMID:18780789|FB:FBrf0206063		GO:0004652	polynucleotide adenylyltransferase activity	IDA			PANTHER:PTHR12271	20090326		NCBITaxon:7227
GeneDB	TriTrypDB:Tb927.10.160	KPAP2	PMID:17543398		GO:0004652	polynucleotide adenylyltransferase activity	EXP				20100706		NCBITaxon:185431
GeneDB	TriTrypDB:Tb927.11.7960	KPAP1	PMID:18464794		GO:0004652	polynucleotide adenylyltransferase activity	EXP				20100706		NCBITaxon:185431
MGI	MGI:MGI:109301	Papola	PMID:18084034		GO:0004652	polynucleotide adenylyltransferase activity	IDA			PANTHER:PTHR10682	20120424		NCBITaxon:10090
PomBase	PomBase:SPAC12G12.13c	cid14	PMID:16478992		GO:0004652	polynucleotide adenylyltransferase activity	IMP			PANTHER:PTHR23092	20150527		NCBITaxon:4896
PomBase	PomBase:SPBC646.04	pla1	PMID:8692700		GO:0004652	polynucleotide adenylyltransferase activity	IGI	SGD:S000001710		PANTHER:PTHR10682	20050413		NCBITaxon:4896
SGD	SGD:S000005475	PAP2	PMID:12062100		GO:0004652	polynucleotide adenylyltransferase activity	IDA		UniProtKB:P53632	PANTHER:PTHR23092	20050414		NCBITaxon:559292
SGD	SGD:S000005475	PAP2	PMID:15828860		GO:0004652	polynucleotide adenylyltransferase activity	IMP		UniProtKB:P53632	PANTHER:PTHR23092	20050610		NCBITaxon:559292
SGD	SGD:S000005475	PAP2	PMID:15935758		GO:0004652	polynucleotide adenylyltransferase activity	IDA		UniProtKB:P53632	PANTHER:PTHR23092	20090818		NCBITaxon:559292
SGD	SGD:S000002334	AIR2	PMID:15935758	contributes_to	GO:0004652	polynucleotide adenylyltransferase activity	IDA		UniProtKB:Q12476	PANTHER:PTHR46543	20090818		NCBITaxon:559292
SGD	SGD:S000005475	PAP2	PMID:15935759		GO:0004652	polynucleotide adenylyltransferase activity	IDA		UniProtKB:P53632	PANTHER:PTHR23092	20090603		NCBITaxon:559292
SGD	SGD:S000005475	PAP2	PMID:15935759		GO:0004652	polynucleotide adenylyltransferase activity	IMP		UniProtKB:P53632	PANTHER:PTHR23092	20060922		NCBITaxon:559292
SGD	SGD:S000002334	AIR2	PMID:15935759	contributes_to	GO:0004652	polynucleotide adenylyltransferase activity	IDA		UniProtKB:Q12476	PANTHER:PTHR46543	20060922		NCBITaxon:559292
SGD	SGD:S000002334	AIR2	PMID:15935759	contributes_to	GO:0004652	polynucleotide adenylyltransferase activity	IGI	SGD:S000001341	UniProtKB:Q12476	PANTHER:PTHR46543	20090615		NCBITaxon:559292
SGD	SGD:S000001341	AIR1	PMID:15935759	contributes_to	GO:0004652	polynucleotide adenylyltransferase activity	IDA		UniProtKB:P40507	PANTHER:PTHR46543	20060922		NCBITaxon:559292
