assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
ARUK-UCL	MGI:MGI:95760	Slc6a9	PMID:15159536|MGI:MGI:3044468		GO:1904782	negative regulation of NMDA glutamate receptor activity	IMP			PANTHER:PTHR11616	20200612	CL:1001571	NCBITaxon:10090
ARUK-UCL	UniProtKB:Q9BYF1	ACE2	PMID:18258853		GO:2000272	negative regulation of signaling receptor activity	IMP			PANTHER:PTHR10514	20201016	UniProtKB:P30556	NCBITaxon:9606
ARUK-UCL	ComplexPortal:CPX-1134	abeta-42-oligomer_human	PMID:19118188		GO:1903048	regulation of acetylcholine-gated cation channel activity	IGI	UniProtKB:P05067:PRO_0000000092|UniProtKB:P49582			20180223	UBERON:0002421|UniProtKB:P49582|GO:1900273	NCBITaxon:9606
ARUK-UCL	ComplexPortal:CPX-1070	abeta-42_human	PMID:20395454		GO:2000969	positive regulation of AMPA receptor activity	IGI	UniProtKB:P07550			20170525	GO:0010739|UniProtKB:P42261	NCBITaxon:9606
ARUK-UCL	UniProtKB:P07550	ADRB2	PMID:20395454		GO:2000969	positive regulation of AMPA receptor activity	IGI	ComplexPortal:CPX-1070		PANTHER:PTHR24248	20170525	GO:0010739|UniProtKB:P42261	NCBITaxon:9606
ARUK-UCL	ComplexPortal:CPX-1134	abeta-42-oligomer_human	PMID:20739563		GO:0061907	negative regulation of AMPA receptor activity	IDA				20170703	UBERON:0022337|UBERON:0022327	NCBITaxon:9606
ARUK-UCL	MGI:MGI:99611	Ephb2	PMID:21113149|MGI:MGI:4867584		GO:1904782	negative regulation of NMDA glutamate receptor activity	IMP			PANTHER:PTHR46877	20170620	GO:1900272|CL:2000089	NCBITaxon:10090
ARUK-UCL	MGI:MGI:99611	Ephb2	PMID:21113149|MGI:MGI:4867584		GO:1904783	positive regulation of NMDA glutamate receptor activity	IMP			PANTHER:PTHR46877	20170620	GO:1900273|CL:2000089	NCBITaxon:10090
ARUK-UCL	MGI:MGI:2447362	Slc24a4	PMID:25096581|MGI:MGI:6716959		GO:0010469	regulation of signaling receptor activity	IMP	UniProtKB:P56450		PANTHER:PTHR10846	20210601	UniProtKB:P56450|GO:0008277|EMAPA:17536|CL:0000540	NCBITaxon:10090
ARUK-UCL	RGD:621117	Nlgn1	PMID:25428619|RGD:11554338		GO:2000310	regulation of NMDA receptor activity	IMP			PANTHER:PTHR43903	20170814	UBERON:0002421	NCBITaxon:10116
ARUK-UCL	MGI:MGI:96629	Jak2	PMID:26227742|MGI:MGI:5776417		GO:2000273	positive regulation of signaling receptor activity	IGI	UniProtKB:P01580		PANTHER:PTHR45807	20201016	UniProtKB:P27512|CL:0000129|CL:0000129	NCBITaxon:10090
ARUK-UCL	MGI:MGI:107656	Ifng	PMID:26227742|MGI:MGI:5776417		GO:2000273	positive regulation of signaling receptor activity	IGI	UniProtKB:P05067|UniProtKB:P49768		PANTHER:PTHR11419	20201016	UniProtKB:P27512|CL:0000129	NCBITaxon:10090
ARUK-UCL	RGD:1307532	Ifngr2	PMID:27094552|RGD:14397550		GO:1904783	positive regulation of NMDA glutamate receptor activity	IGI	UniProtKB:P01581|UniProtKB:Q6P6T3		PANTHER:PTHR20859	20190318	CL:0000540|UBERON:0002181|CL:0000129	NCBITaxon:10116
ARUK-UCL	RGD:2866	Ifng	PMID:27094552|RGD:14397550		GO:1904783	positive regulation of NMDA glutamate receptor activity	IGI	UniProtKB:D4A109|UniProtKB:Q6P6T3		PANTHER:PTHR11419	20190318	CL:0000540|UBERON:0002181|CL:0000129	NCBITaxon:10116
ARUK-UCL	RGD:3645	Ccl2	PMID:27094552|RGD:14397550		GO:1904783	positive regulation of NMDA glutamate receptor activity	IGI	UniProtKB:O55193|UniProtKB:P01581		PANTHER:PTHR12015	20190318	CL:0000540|UBERON:0002181	NCBITaxon:10116
ARUK-UCL	RGD:620876	Ccr2	PMID:27094552|RGD:14397550		GO:1904783	positive regulation of NMDA glutamate receptor activity	IGI	UniProtKB:P01581|UniProtKB:P14844		PANTHER:PTHR10489	20190318	CL:0000540|UBERON:0002181	NCBITaxon:10116
ARUK-UCL	RNAcentral:URS0000183BED_9606	URS0000183BED_9606	PMID:29901200		GO:2000272	negative regulation of signaling receptor activity	IDA				20201016	UniProtKB:Q14626	NCBITaxon:9606
ARUK-UCL	RNAcentral:URS00005A4DCF_9606	URS00005A4DCF_9606	PMID:30670152		GO:2000272	negative regulation of signaling receptor activity	IDA				20201016	UniProtKB:P08887|CL:0002618	NCBITaxon:9606
ARUK-UCL	RNAcentral:URS000000B1C9_9606	URS000000B1C9_9606	PMID:30670152		GO:2000272	negative regulation of signaling receptor activity	IDA				20201016	UniProtKB:P08887|CL:0002618	NCBITaxon:9606
ARUK-UCL	UniProtKB:Q8NHJ6	LILRB4	PMID:9151699		GO:2000272	negative regulation of signaling receptor activity	IDA			PANTHER:PTHR11738	20201001	UniProtKB:P29350	NCBITaxon:9606
AgBase	UniProtKB:H0YPZ4	DRD1	PMID:12853427		GO:1904782	negative regulation of NMDA glutamate receptor activity	IMP				20151112	CL:1001474|UBERON:0002420	NCBITaxon:59729
AgBase	UniProtKB:Q84TQ7	GAI	PMID:18506581		GO:2000273	positive regulation of signaling receptor activity	IDA			PANTHER:PTHR31636	20120217		NCBITaxon:3635
Alzheimers_University_of_Toronto	RGD:628758	Ptk2b	PMID:11239437|RGD:8553497		GO:2000310	regulation of NMDA receptor activity	IMP			PANTHER:PTHR24418	20140325		NCBITaxon:10116
Alzheimers_University_of_Toronto	MGI:MGI:99458	Mef2c	PMID:18599438|MGI:MGI:3804504		GO:2000310	regulation of NMDA receptor activity	IMP			PANTHER:PTHR11945	20140319	EMAPA:19037	NCBITaxon:10090
Alzheimers_University_of_Toronto	MGI:MGI:99458	Mef2c	PMID:18599438|MGI:MGI:3804504		GO:2000311	regulation of AMPA receptor activity	IMP			PANTHER:PTHR11945	20140319	EMAPA:19037	NCBITaxon:10090
AspGD	UniProtKB:P67875	mitF	PMID:19675222		GO:0060300	regulation of cytokine activity	IMP				20100826		NCBITaxon:330879
BHF-UCL	UniProtKB:Q9ULV8	CBLC	PMID:10362357		GO:0007175	negative regulation of epidermal growth factor-activated receptor activity	IDA			PANTHER:PTHR23007	20090408		NCBITaxon:9606
BHF-UCL	UniProtKB:P01375	TNF	PMID:10443688		GO:2000272	negative regulation of signaling receptor activity	IDA			PANTHER:PTHR11471	20201016		NCBITaxon:9606
BHF-UCL	UniProtKB:P22301	IL10	PMID:10443688		GO:2000273	positive regulation of signaling receptor activity	IDA				20201016		NCBITaxon:9606
BHF-UCL	RGD:3242	P2ry1	PMID:11390975|RGD:8553380		GO:0010469	regulation of signaling receptor activity	IDA			PANTHER:PTHR24231	20101008		NCBITaxon:10116
BHF-UCL	UniProtKB:P37231	PPARG	PMID:12700342		GO:2000272	negative regulation of signaling receptor activity	IDA			PANTHER:PTHR24082	20201016		NCBITaxon:9606
BHF-UCL	UniProtKB:Q07869	PPARA	PMID:12700342		GO:2000272	negative regulation of signaling receptor activity	IDA			PANTHER:PTHR24082	20201016		NCBITaxon:9606
BHF-UCL	RGD:68424	Dlg4	PMID:12930820|RGD:8554754		GO:2000310	regulation of NMDA receptor activity	IDA			PANTHER:PTHR23119	20120314		NCBITaxon:10116
BHF-UCL	MGI:MGI:2681835	Nlgn2	PMID:15620359|MGI:MGI:5284797		GO:2000311	regulation of AMPA receptor activity	IMP			PANTHER:PTHR43903	20110629		NCBITaxon:10090
BHF-UCL	UniProtKB:Q9UBN7	HDAC6	PMID:15916966		GO:2000273	positive regulation of signaling receptor activity	IMP			PANTHER:PTHR48252	20201016		NCBITaxon:9606
BHF-UCL	UniProtKB:P05305	EDN1	PMID:17178876		GO:2000273	positive regulation of signaling receptor activity	IDA			PANTHER:PTHR13874	20201116		NCBITaxon:9606
BHF-UCL	UniProtKB:Q16665	HIF1A	PMID:17178876		GO:2000273	positive regulation of signaling receptor activity	IMP			PANTHER:PTHR23043	20201016		NCBITaxon:9606
BHF-UCL	UniProtKB:P18825	ADRA2C	PMID:17215105		GO:0035624	receptor transactivation	IDA			PANTHER:PTHR24248	20180615	UniProtKB:P00533	NCBITaxon:9606
